,MOF,gas,ppm,rep_id,slope,saturation,auc
174,Zn-HHTP,NO,40,1,-1.9105364578452186,-664.4078990935745,-920223.4511885736
175,Zn-HHTP,NO,40,2,-1.8141551735650667,-661.297415839873,-912239.0081748122
176,Zn-HHTP,NO,80,0,-2.1549767126150163,-536.14937417543,-818753.6556595766
177,Zn-HHTP,NO,80,1,-2.178590024069035,-542.2580240722166,-829377.9535033671
178,Zn-HHTP,NO,80,2,-2.453741387437222,-557.8818220997197,-850869.2817259603
179,Zn-HHTP,NO,80,3,-2.1106702662990897,-520.840721413443,-781557.3919696279
180,Zn-HHTP,NO,80,4,-2.5527031833489255,-557.8122841670222,-852294.9170293922
181,Cu-HHTP,CO,5,0,0.0027472974093142484,1.2248936593182995,1343.844648116926
182,Cu-HHTP,CO,5,1,0.0031331812019994914,1.1804574548325473,1297.2973917910842
183,Cu-HHTP,CO,5,2,0.0032217795951577166,1.1722712557917339,1240.8914290561272
184,Cu-HHTP,CO,5,3,0.002551143856041715,1.263454489244933,1385.1070993475957
185,Cu-HHTP,CO,10,0,0.009704220647931557,2.0442143326410065,3030.0329540231223
186,Cu-HHTP,CO,10,1,0.008725875792292821,1.8907234973808107,2795.438616810638
187,Cu-HHTP,CO,10,2,0.008708811946527307,1.8193182233265226,2650.963844126498
188,Cu-HHTP,CO,10,3,0.009635951340747115,2.193676336181243,3242.92333752945
189,Cu-HHTP,CO,20,0,0.025298096188744595,4.5190793577829655,7055.499893578322
190,Cu-HHTP,CO,20,1,0.02377485594500856,3.795083583635471,5625.026043091819
191,Cu-HHTP,CO,20,2,0.024158363742747938,3.815084196916391,5856.119404048541
192,Cu-HHTP,CO,20,3,0.03187689046613155,5.148804959644169,8070.518640000124
193,Cu-HHTP,CO,40,0,0.07542844308100405,7.101644895822545,11361.51294370701
194,Cu-HHTP,CO,40,1,0.055855718783846646,6.3931488619852725,9767.569507870918
195,Cu-HHTP,CO,40,2,0.07512412199926134,6.697227840603795,10412.262315772023
196,Cu-HHTP,CO,40,3,0.0866915132501816,7.862845462875242,12670.26936342441
197,Cu-HHTP,CO,80,0,0.1184446826197161,5.72120552104802,9374.442995093465
198,Cu-HHTP,CO,80,1,0.11287811573500815,4.930757016346663,8167.927790887668
199,Cu-HHTP,CO,80,2,0.1137294697303333,5.009805821301089,8247.496771628807
200,Cu-HHTP,CO,80,3,0.11746483892329676,5.282906211050458,8742.163104277832
201,Ni-HHTP,CO,5,0,0.005004903515743255,1.4618992615208763,1504.252031505406
202,Ni-HHTP,CO,5,1,0.0023219524317071726,1.3331702776799037,1312.3729394428021
203,Ni-HHTP,CO,5,2,0.0029224756185035087,1.4791985840235296,1557.2919130384755
204,Ni-HHTP,CO,10,0,0.007141620680236166,1.7003644884084705,2430.220992504381
205,Ni-HHTP,CO,10,1,0.00799788849951924,1.9069474073100194,2786.370869453197
206,Ni-HHTP,CO,10,2,0.007985808287957944,1.784135663535285,2553.276074964444
207,Ni-HHTP,CO,10,3,0.008550186257725141,1.6843709316935884,2426.800612772531
208,Ni-HHTP,CO,20,0,0.024283493897355044,5.02433360835859,6978.883707007929
209,Ni-HHTP,CO,20,1,0.021786389340551125,4.641226374098124,6425.941954943788
210,Ni-HHTP,CO,20,2,0.02060033941367221,4.1290666117124175,5712.874335843202
211,Ni-HHTP,CO,20,3,0.024103267812534638,5.244398773523972,7163.256229571074
212,Ni-HHTP,CO,40,0,0.03021974177308403,5.772941336037173,8731.124596133459
213,Ni-HHTP,CO,40,1,0.034531643282411616,5.495593395267604,8455.517001043048
214,Ni-HHTP,CO,40,2,0.032361324780004266,5.42196200313239,8232.18918522641
215,Ni-HHTP,CO,40,3,0.03272564636748645,6.24287391904699,9381.069038386258
216,Ni-HHTP,CO,80,0,0.05230808054869418,7.202021728953119,11192.347555756985
217,Ni-HHTP,CO,80,1,0.04456604190240643,5.984687944047626,9044.312444990266
218,Ni-HHTP,CO,80,2,0.048033420041302025,6.36340776705644,10077.13511462718
219,Ni-HHTP,CO,80,3,0.058589408414527255,7.354555018878186,11491.191758808021
220,Zn-HHTP,CO,10,0,-0.0035367993637886396,-2.184845398390618,-1508.0858154586601
221,Zn-HHTP,CO,10,1,-0.0036990703914457934,-2.2373838172668736,-1747.7906721664046
222,Zn-HHTP,CO,10,2,-0.004525361032006949,-2.054979740761632,-1488.991453094988
223,Zn-HHTP,CO,20,0,-0.001886175812971873,-2.936213164482058,-1119.499354888675
224,Zn-HHTP,CO,20,1,-0.008917506717016592,-2.1080800660770476,-1970.5556873847224
225,Zn-HHTP,CO,20,2,-0.00883346751159464,-1.9373930793819565,-1668.2092814551088
226,Zn-HHTP,CO,20,3,-0.005484065465699074,-2.0610334788570714,-1641.2587371711545
227,Zn-HHTP,CO,40,0,0.025207401430326876,4.406491294960051,6475.497073532827
228,Zn-HHTP,CO,40,1,0.0447700305808438,5.861674775523117,7628.58063367746
229,Zn-HHTP,CO,40,2,0.03671491161679217,3.8399582156868886,5480.438041305778
230,Zn-HHTP,CO,40,3,0.028607391728765426,3.4181069747411383,4592.78172575793
231,Zn-HHTP,CO,80,0,0.02727122774958761,3.8922694300325014,5741.131944047579
232,Zn-HHTP,CO,80,1,0.03435835578019334,3.121947511533636,4497.279954986941
233,Zn-HHTP,CO,80,2,0.035999981814912846,2.9100334417822875,4330.067859283916
234,Zn-HHTP,CO,80,3,0.0278351185385231,2.6712722690417157,3795.7099448866293
235,Zn-HHTP,CO,80,4,0.027282361672272715,2.884098201772307,4324.896834980587
236,Cu-HHTP,NH3,5,0,0.017031866120595963,8.5228644456709,10758.313209503154
237,Cu-HHTP,NH3,5,1,0.01770158835255865,8.991996488014255,11271.582131414018
238,Cu-HHTP,NH3,5,2,0.01682521465772646,8.39613551624193,10572.954231439173
239,Cu-HHTP,NH3,5,3,0.01668739826244835,8.223183086542575,10335.402637896916
240,Cu-HHTP,NH3,10,0,0.028539636662400204,14.073542311544415,18454.085449654016
241,Cu-HHTP,NH3,10,1,0.04070256436387726,13.241865583060862,18263.00099375743
242,Cu-HHTP,NH3,10,2,0.014866589502880815,10.1464786028046,12194.355018072041
243,Cu-HHTP,NH3,20,0,0.09401107976185938,18.213015768060842,28151.89381818743
244,Cu-HHTP,NH3,20,1,0.07796111331714083,14.72717300296879,22257.321351101567
245,Cu-HHTP,NH3,20,2,0.07414648639915314,14.275611302928743,21690.379222238025
246,Cu-HHTP,NH3,20,3,0.08024517495308602,16.563479047483106,25290.972610114797
247,Cu-HHTP,NH3,40,0,0.30692286047157014,27.529238422518734,43741.80704756589
248,Cu-HHTP,NH3,40,1,0.2594429616297887,26.685583245928907,42107.99645528341
249,Cu-HHTP,NH3,40,2,0.20480377276223571,25.391775798102966,40020.85133111573
